ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
269,Rider,S,South Bend Watch Company,2,,D,South Bend,IN,41.675032,-86.251962
270,Holzbog,George,Geo. H. Holzbog and Bro.,2,,H,Jeffersonville,IN,38.299811,-85.72554
272,Hill,I,U.S. Board and Paper Co.,2,,N,Carthage,IN,39.73995,-85.571362
273,Loop,J,J.N. Loop & Co.,2,,N,Kokomo,IN,40.486508,-86.131244
274,Myers,Newton,Jeffersonville Manufacturing Co.,2,,H,Jeffersonville,IN,38.299811,-85.72554
275,Cooley,J,Ox Valley Canning Company,2,,O,Scottsburg,IN,38.685625,-85.778448
277,Gates,C,Union Trust Co. Of Indnpls,2,,E,Noblesville,IN,40.045604,-86.012241
278,Van Spanje,Adolf,Ohlemacher Brick Company,2,,,Michigan City,IN,41.719785,-86.901439
279,Raymond,P,Adams & Raymond,2,,B,Indianapolis,IN,39.76845,-86.156212
280,Lucas,Elmer,Patoka Marble Works,2,,,Huntingburg,IN,38.298889,-86.955457
281,,,Spiegel Furniture Co.,2,70,,Shelbyville,IN,39.52295,-85.777011
282,Wheeler,W,Wheeler Dressed Beef Co.,2,,H,Indianapolis,IN,39.76845,-86.156212
283,Voris,C,Crawfordsville Wire and Nail Co.,2,,D,Crawfordsville,IN,40.042859,-86.903342
284,Palmer,G,G. H. Palmer Co.,2,,H,Sheridan,IN,40.13706,-86.223048
285,Chilcott,G,Logansport Ice and Cold Storage Co.,2,,,Logansport,IN,40.754493,-86.362997
286,Dobson,Willis,Klondike Milling Co,2,,A,Danville,IN,39.760764,-86.523873
287,,,A.B. Nickey & Sons,2,,,Princeton,IN,38.355226,-87.567555
288,,,Jasper Furniture Co.,2,,,Jasper,IN,38.391483,-86.931758
289,Iles,O,International Machine Tool Company,2,250,B,Indianapolis,IN,39.76845,-86.156212
290,Haynes,C,The Haynes Automobile Company,2,500,H,Kokomo,IN,40.486508,-86.131244
291,Powers,George,The Butler Company,2,,A,Butler,IN,41.429718,-84.871344
292,Huston,J,Connersville Blower Company,2,150,E,Connersville,IN,39.639413,-85.140889
293,Doles,Edwin,,2,,E,Greensburg,IN,39.339927,-85.479501
294,Drake,G,Anderson Canning Co.,2,,W,Anderson,IN,40.107884,-85.67821
295,Korstad,A,A.P. Korstad Boiler Co.,2,,P,Terre Haute,IN,39.466479,-87.414045
296,Bowen,W,,2,,J,Hartford City,IN,40.4513,-85.370171
297,,,Jackson Co. Hoop Co.,2,,,Ewing,IN,38.884701,-86.055298
298,Miller,David,Nappanee Carriage Co.,2,,F,Nappanee,IN,41.442648,-85.999946
299,Katterburg,Fred,,2,,B,Huntinburg,IN,38.298889,-86.955457
300,Carnahan,M,,2,,J,Washington,IN,38.659575,-87.170213
301,,,William Thies & Son,2,,,Huntinburg,IN,38.298889,-86.955457
